"cty","Name","High_School_Graduation_Rate_rP_gP_p75"
"cty36033","Franklin County, NY",0.9632
"cty16077","Power County, ID",0.9632
"cty05107","Phillips County, AR",0.9629
"cty20201","Washington County, KS",0.9629
"cty37005","Alleghany County, NC",0.9629
"cty51570","Colonial Heights city, VA",0.9627
"cty21071","Floyd County, KY",0.9627
"cty20023","Cheyenne County, KS",0.9626
"cty20101","Lane County, KS",0.9626
"cty17045","Edgar County, IL",0.9624
"cty29135","Moniteau County, MO",0.9623
"cty39059","Guernsey County, OH",0.962
"cty20151","Pratt County, KS",0.962
"cty20203","Wichita County, KS",0.962
"cty12013","Calhoun County, FL",0.962
"cty05117","Prairie County, AR",0.9619
"cty20097","Kiowa County, KS",0.9619
"cty30009","Carbon County, MT",0.9619
"cty51029","Buckingham County, VA",0.9618
"cty56027","Niobrara County, WY",0.9618
"cty13111","Fannin County, GA",0.9617
"cty02220","Sitka City and Borough, AK",0.9616
"cty40043","Dewey County, OK",0.9615
"cty51019","Bedford County, VA",0.9614
"cty27033","Cottonwood County, MN",0.9613
"cty17017","Cass County, IL",0.9613
"cty19039","Clarke County, IA",0.9613
"cty48075","Childress County, TX",0.9612
"cty16067","Minidoka County, ID",0.9612
"cty29053","Cooper County, MO",0.9611
"cty21149","McLean County, KY",0.961
"cty30053","Lincoln County, MT",0.961
"cty31089","Holt County, NE",0.9608
"cty48357","Ochiltree County, TX",0.9608
"cty53039","Klickitat County, WA",0.9608
"cty54091","Taylor County, WV",0.9605
"cty17109","McDonough County, IL",0.9605
"cty16047","Gooding County, ID",0.9603
"cty31121","Merrick County, NE",0.9603
"cty51105","Lee County, VA",0.9602
"cty13075","Cook County, GA",0.9601
"cty21183","Ohio County, KY",0.9601
"cty21091","Hancock County, KY",0.9599
"cty01057","Fayette County, AL",0.9597
"cty31125","Nance County, NE",0.9597
"cty51127","New Kent County, VA",0.9597
"cty35035","Otero County, NM",0.9596
"cty19159","Ringgold County, IA",0.9593
"cty21217","Taylor County, KY",0.9593
"cty21001","Adair County, KY",0.9592
"cty13155","Irwin County, GA",0.9592
"cty28029","Copiah County, MS",0.959
"cty06011","Colusa County, CA",0.959
"cty51115","Mathews County, VA",0.9589
"cty17033","Crawford County, IL",0.9588
"cty17165","Saline County, IL",0.9588
"cty13005","Bacon County, GA",0.9587
"cty29015","Benton County, MO",0.9583
"cty54069","Ohio County, WV",0.9582
"cty17135","Montgomery County, IL",0.9581
"cty51089","Henry County, VA",0.958
"cty31167","Stanton County, NE",0.958
"cty13109","Evans County, GA",0.958
"cty47019","Carter County, TN",0.9579
"cty29039","Cedar County, MO",0.9579
"cty54099","Wayne County, WV",0.9578
"cty20171","Scott County, KS",0.9578
"cty02150","Kodiak Island Borough, AK",0.9577
"cty01129","Washington County, AL",0.9576
"cty47109","McNairy County, TN",0.9576
"cty40141","Tillman County, OK",0.9574
"cty21055","Crittenden County, KY",0.9573
"cty29087","Holt County, MO",0.9571
"cty46067","Hutchinson County, SD",0.957
"cty16039","Elmore County, ID",0.9568
"cty28043","Grenada County, MS",0.9564
"cty20073","Greenwood County, KS",0.9564
"cty51173","Smyth County, VA",0.9564
"cty19009","Audubon County, IA",0.9563
"cty19187","Webster County, IA",0.9562
"cty08089","Otero County, CO",0.9561
"cty19047","Crawford County, IA",0.9561
"cty17145","Perry County, IL",0.9561
"cty46033","Custer County, SD",0.9561
"cty05005","Baxter County, AR",0.9561
"cty01111","Randolph County, AL",0.956
"cty12037","Franklin County, FL",0.9559
"cty48101","Cottle County, TX",0.9558
"cty55007","Bayfield County, WI",0.9557
"cty48189","Hale County, TX",0.9554
"cty37037","Chatham County, NC",0.9554
"cty30007","Broadwater County, MT",0.9554
"cty21017","Bourbon County, KY",0.9553
"cty48471","Walker County, TX",0.9552
"cty37031","Carteret County, NC",0.9551
"cty21231","Wayne County, KY",0.955
"cty47089","Jefferson County, TN",0.955
"cty02290","Yukon-Koyukuk Census Area, AK",0.9549
"cty46107","Potter County, SD",0.9549
"cty38093","Stutsman County, ND",0.9549
"cty39131","Pike County, OH",0.9548
"cty47059","Greene County, TN",0.9548
"cty29185","St. Clair County, MO",0.9548
"cty15003","Honolulu County, HI",0.9547
"cty35051","Sierra County, NM",0.9547
"cty29033","Carroll County, MO",0.9546
"cty51161","Roanoke County, VA",0.9546
"cty54043","Lincoln County, WV",0.9545
"cty51063","Floyd County, VA",0.9545
"cty41063","Wallowa County, OR",0.9544
"cty48273","Kleberg County, TX",0.9544
"cty36059","Nassau County, NY",0.9543
"cty51185","Tazewell County, VA",0.9543
"cty47181","Wayne County, TN",0.9543
"cty39067","Harrison County, OH",0.9539
"cty29153","Ozark County, MO",0.9539
"cty48171","Gillespie County, TX",0.9537
"cty08051","Gunnison County, CO",0.9537
"cty27119","Polk County, MN",0.9535
"cty54033","Harrison County, WV",0.9535
"cty50015","Lamoille County, VT",0.9535
"cty51610","Falls Church city, VA",0.9534
"cty55107","Rusk County, WI",0.9534
"cty21177","Muhlenberg County, KY",0.9534
"cty06049","Modoc County, CA",0.9533
"cty05017","Chicot County, AR",0.9533
"cty48475","Ward County, TX",0.9533
"cty24027","Howard County, MD",0.9532
"cty31135","Perkins County, NE",0.9532
"cty48013","Atascosa County, TX",0.953
"cty51181","Surry County, VA",0.9529
"cty45025","Chesterfield County, SC",0.9529
"cty40029","Coal County, OK",0.9528
"cty21009","Barren County, KY",0.9528
"cty51017","Bath County, VA",0.9527
"cty54087","Roane County, WV",0.9527
"cty17067","Hancock County, IL",0.9526
"cty41045","Malheur County, OR",0.9526
"cty37113","Macon County, NC",0.9524
"cty56017","Hot Springs County, WY",0.9524
"cty39175","Wyandot County, OH",0.9523
"cty24029","Kent County, MD",0.9523
"cty13049","Charlton County, GA",0.9523
"cty19121","Madison County, IA",0.9521
"cty29181","Ripley County, MO",0.9521
"cty21187","Owen County, KY",0.952
"cty21077","Gallatin County, KY",0.952
"cty47087","Jackson County, TN",0.9519
"cty22065","Madison Parish, LA",0.9518
"cty48025","Bee County, TX",0.9518
"cty39001","Adams County, OH",0.9518
"cty19107","Keokuk County, IA",0.9516
"cty31049","Deuel County, NE",0.9514
"cty48089","Colorado County, TX",0.9514
"cty41025","Harney County, OR",0.9514
"cty51167","Russell County, VA",0.9514
"cty27087","Mahnomen County, MN",0.9513
"cty17121","Marion County, IL",0.9513
"cty29211","Sullivan County, MO",0.9513
"cty22087","St. Bernard Parish, LA",0.9512
"cty49043","Summit County, UT",0.9511
"cty24035","Queen Anne's County, MD",0.9511
"cty51079","Greene County, VA",0.9511
"cty48379","Rains County, TX",0.9511
"cty29089","Howard County, MO",0.951
"cty20053","Ellsworth County, KS",0.9509
"cty42079","Luzerne County, PA",0.9508
"cty19079","Hamilton County, IA",0.9507
"cty54001","Barbour County, WV",0.9506
"cty51135","Nottoway County, VA",0.9506
"cty51027","Buchanan County, VA",0.9504
"cty29123","Madison County, MO",0.9504
"cty46087","McCook County, SD",0.9504
"cty42013","Blair County, PA",0.9503
"cty29163","Pike County, MO",0.9502
"cty48461","Upton County, TX",0.9502
"cty20037","Crawford County, KS",0.9501
"cty48083","Coleman County, TX",0.9501
"cty51121","Montgomery County, VA",0.9501
"cty47023","Chester County, TN",0.9501
"cty13043","Candler County, GA",0.95
"cty24011","Caroline County, MD",0.9498
"cty18161","Union County, IN",0.9498
"cty37043","Clay County, NC",0.9498
"cty40103","Noble County, OK",0.9497
"cty17105","Livingston County, IL",0.9497
"cty22049","Jackson Parish, LA",0.9497
"cty15001","Hawaii County, HI",0.9497
"cty39013","Belmont County, OH",0.9496
"cty17157","Randolph County, IL",0.9496
"cty55085","Oneida County, WI",0.9496
"cty01133","Winston County, AL",0.9495
"cty48179","Gray County, TX",0.9495
"cty38025","Dunn County, ND",0.9494
"cty40099","Murray County, OK",0.9493
"cty21207","Russell County, KY",0.9493
"cty37093","Hoke County, NC",0.9492
"cty42033","Clearfield County, PA",0.9492
"cty48429","Stephens County, TX",0.9492
"cty16043","Fremont County, ID",0.9492
"cty17077","Jackson County, IL",0.949
"cty31099","Kearney County, NE",0.949
"cty37091","Hertford County, NC",0.9489
"cty54051","Marshall County, WV",0.9489
"cty29227","Worth County, MO",0.9489
"cty17159","Richland County, IL",0.9488
"cty19089","Howard County, IA",0.9488
"cty18159","Tipton County, IN",0.9488
"cty47153","Sequatchie County, TN",0.9487
"cty48395","Robertson County, TX",0.9487
"cty27149","Stevens County, MN",0.9487
"cty21025","Breathitt County, KY",0.9486
"cty16057","Latah County, ID",0.9486
"cty02110","Juneau City and Borough, AK",0.9485
"cty21053","Clinton County, KY",0.9485
"cty19043","Clayton County, IA",0.9485
"cty47107","McMinn County, TN",0.9484
"cty18115","Ohio County, IN",0.9484
"cty29127","Marion County, MO",0.9484
