"cty","Name","College_Graduation_Rate_rP_gP_p50"
"cty46015","Brule County, SD",0.3871
"cty46079","Lake County, SD",0.3868
"cty30027","Fergus County, MT",0.3866
"cty28021","Claiborne County, MS",0.3864
"cty31045","Dawes County, NE",0.3854
"cty20161","Riley County, KS",0.3849
"cty36039","Greene County, NY",0.3846
"cty20011","Bourbon County, KS",0.3845
"cty31051","Dixon County, NE",0.3841
"cty19141","O'Brien County, IA",0.3841
"cty19075","Grundy County, IA",0.3839
"cty30049","Lewis and Clark County, MT",0.3836
"cty37183","Wake County, NC",0.3836
"cty51750","Radford city, VA",0.3831
"cty20091","Johnson County, KS",0.3823
"cty30063","Missoula County, MT",0.3819
"cty19061","Dubuque County, IA",0.3818
"cty40151","Woods County, OK",0.3817
"cty19089","Howard County, IA",0.3816
"cty08115","Sedgwick County, CO",0.3813
"cty17169","Schuyler County, IL",0.381
"cty51107","Loudoun County, VA",0.3809
"cty19101","Jefferson County, IA",0.3801
"cty41037","Lake County, OR",0.3801
"cty08035","Douglas County, CO",0.3799
"cty42129","Westmoreland County, PA",0.3799
"cty54105","Wirt County, WV",0.3799
"cty30083","Richland County, MT",0.3798
"cty20119","Meade County, KS",0.3797
"cty56011","Crook County, WY",0.3797
"cty31031","Cherry County, NE",0.3796
"cty48023","Baylor County, TX",0.3794
"cty53037","Kittitas County, WA",0.3794
"cty08095","Phillips County, CO",0.379
"cty19059","Dickinson County, IA",0.379
"cty28051","Holmes County, MS",0.3789
"cty30095","Stillwater County, MT",0.3789
"cty20193","Thomas County, KS",0.3788
"cty31107","Knox County, NE",0.378
"cty19189","Winnebago County, IA",0.3779
"cty48195","Hansford County, TX",0.3777
"cty17085","Jo Daviess County, IL",0.3776
"cty31099","Kearney County, NE",0.3776
"cty50023","Washington County, VT",0.3775
"cty19027","Carroll County, IA",0.3773
"cty31035","Clay County, NE",0.377
"cty19037","Chickasaw County, IA",0.3769
"cty29041","Chariton County, MO",0.3762
"cty34039","Union County, NJ",0.376
"cty25003","Berkshire County, MA",0.376
"cty48445","Terry County, TX",0.3759
"cty19007","Appanoose County, IA",0.3756
"cty46011","Brookings County, SD",0.3755
"cty31003","Antelope County, NE",0.3754
"cty19103","Johnson County, IA",0.3752
"cty36029","Erie County, NY",0.3751
"cty34031","Passaic County, NJ",0.3747
"cty30001","Beaverhead County, MT",0.3746
"cty50007","Chittenden County, VT",0.3744
"cty51199","York County, VA",0.3743
"cty17109","McDonough County, IL",0.3743
"cty37189","Watauga County, NC",0.3741
"cty27043","Faribault County, MN",0.3741
"cty34013","Essex County, NJ",0.374
"cty42029","Chester County, PA",0.374
"cty46077","Kingsbury County, SD",0.3738
"cty48047","Brooks County, TX",0.3737
"cty26061","Houghton County, MI",0.3737
"cty19065","Fayette County, IA",0.3734
"cty08107","Routt County, CO",0.3732
"cty30093","Silver Bow County, MT",0.3731
"cty50005","Caledonia County, VT",0.373
"cty37121","Mitchell County, NC",0.3729
"cty42079","Luzerne County, PA",0.3728
"cty46087","McCook County, SD",0.3727
"cty54041","Lewis County, WV",0.3726
"cty51147","Prince Edward County, VA",0.372
"cty19169","Story County, IA",0.3718
"cty40055","Greer County, OK",0.3718
"cty31033","Cheyenne County, NE",0.3715
"cty19005","Allamakee County, IA",0.3715
"cty46125","Turner County, SD",0.3712
"cty21185","Oldham County, KY",0.3712
"cty30031","Gallatin County, MT",0.3709
"cty55089","Ozaukee County, WI",0.3708
"cty42017","Bucks County, PA",0.3707
"cty48317","Martin County, TX",0.3707
"cty46085","Lyman County, SD",0.3706
"cty20095","Kingman County, KS",0.3703
"cty05019","Clark County, AR",0.3697
"cty27133","Rock County, MN",0.3694
"cty56019","Johnson County, WY",0.369
"cty25023","Plymouth County, MA",0.3687
"cty48087","Collingsworth County, TX",0.3687
"cty31159","Seward County, NE",0.3687
"cty38007","Billings County, ND",0.3686
"cty47027","Clay County, TN",0.3686
"cty19073","Greene County, IA",0.3683
"cty13067","Cobb County, GA",0.3681
"cty08013","Boulder County, CO",0.368
"cty05027","Columbia County, AR",0.368
"cty38055","McLean County, ND",0.3677
"cty21001","Adair County, KY",0.3677
"cty19031","Cedar County, IA",0.3676
"cty46055","Haakon County, SD",0.3674
"cty31139","Pierce County, NE",0.3672
"cty40103","Noble County, OK",0.367
"cty20065","Graham County, KS",0.3669
"cty44005","Newport County, RI",0.3669
"cty48093","Comanche County, TX",0.3667
"cty41063","Wallowa County, OR",0.3665
"cty47187","Williamson County, TN",0.3664
"cty30105","Valley County, MT",0.3657
"cty28053","Humphreys County, MS",0.3657
"cty37135","Orange County, NC",0.3657
"cty25007","Dukes County, MA",0.3655
"cty31127","Nemaha County, NE",0.3654
"cty30039","Granite County, MT",0.3654
"cty48369","Parmer County, TX",0.3653
"cty45013","Beaufort County, SC",0.3651
"cty40007","Beaver County, OK",0.3649
"cty19069","Franklin County, IA",0.3648
"cty19143","Osceola County, IA",0.3646
"cty54055","Mercer County, WV",0.3645
"cty38063","Nelson County, ND",0.3645
"cty20207","Woodson County, KS",0.3645
"cty25025","Suffolk County, MA",0.3644
"cty46019","Butte County, SD",0.364
"cty49043","Summit County, UT",0.3638
"cty39099","Mahoning County, OH",0.3637
"cty13025","Brantley County, GA",0.3635
"cty36007","Broome County, NY",0.3634
"cty19039","Clarke County, IA",0.3633
"cty42103","Pike County, PA",0.363
"cty42125","Washington County, PA",0.3627
"cty28131","Stone County, MS",0.3627
"cty54089","Summers County, WV",0.3623
"cty48427","Starr County, TX",0.3622
"cty54093","Tucker County, WV",0.3622
"cty50027","Windsor County, VT",0.3622
"cty54061","Monongalia County, WV",0.3621
"cty30005","Blaine County, MT",0.362
"cty56015","Goshen County, WY",0.362
"cty48489","Willacy County, TX",0.3613
"cty54049","Marion County, WV",0.361
"cty46037","Day County, SD",0.3609
"cty05061","Howard County, AR",0.3608
"cty09009","New Haven County, CT",0.3607
"cty19025","Calhoun County, IA",0.3607
"cty38089","Stark County, ND",0.3606
"cty27149","Stevens County, MN",0.3606
"cty20007","Barber County, KS",0.3604
"cty19151","Pocahontas County, IA",0.3598
"cty27081","Lincoln County, MN",0.3597
"cty36111","Ulster County, NY",0.3597
"cty37175","Transylvania County, NC",0.3592
"cty53043","Lincoln County, WA",0.3588
"cty51181","Surry County, VA",0.3587
"cty27101","Murray County, MN",0.3586
"cty46123","Tripp County, SD",0.3584
"cty42021","Cambria County, PA",0.3582
"cty54021","Gilmer County, WV",0.3582
"cty38073","Ransom County, ND",0.3581
"cty42089","Monroe County, PA",0.3581
"cty13135","Gwinnett County, GA",0.358
"cty42063","Indiana County, PA",0.358
"cty17065","Hamilton County, IL",0.3579
"cty39107","Mercer County, OH",0.3578
"cty01063","Greene County, AL",0.3576
"cty29089","Howard County, MO",0.3574
"cty06059","Orange County, CA",0.3573
"cty27107","Norman County, MN",0.3573
"cty38059","Morton County, ND",0.3567
"cty29033","Carroll County, MO",0.3567
"cty17185","Wabash County, IL",0.3566
"cty46097","Miner County, SD",0.3565
"cty22103","St. Tammany Parish, LA",0.3564
"cty21013","Bell County, KY",0.3564
"cty33015","Rockingham County, NH",0.3563
"cty05117","Prairie County, AR",0.3563
"cty31129","Nuckolls County, NE",0.356
"cty19079","Hamilton County, IA",0.356
"cty06057","Nevada County, CA",0.3559
"cty38021","Dickey County, ND",0.3559
"cty51003","Albemarle County, VA",0.3557
"cty12001","Alachua County, FL",0.3556
"cty48157","Fort Bend County, TX",0.3556
"cty25015","Hampshire County, MA",0.3556
"cty54073","Pleasants County, WV",0.3555
"cty54051","Marshall County, WV",0.3554
"cty20037","Crawford County, KS",0.3553
"cty54009","Brooke County, WV",0.3551
"cty08073","Lincoln County, CO",0.3545
"cty12073","Leon County, FL",0.3542
"cty18057","Hamilton County, IN",0.3542
"cty42073","Lawrence County, PA",0.3542
"cty28105","Oktibbeha County, MS",0.3542
"cty28027","Coahoma County, MS",0.3539
"cty48247","Jim Hogg County, TX",0.3538
"cty31143","Polk County, NE",0.3537
"cty20145","Pawnee County, KS",0.3535
"cty54015","Clay County, WV",0.3535
"cty20085","Jackson County, KS",0.3534
"cty36027","Dutchess County, NY",0.3533
"cty51775","Salem city, VA",0.3532
"cty36065","Oneida County, NY",0.3532
"cty31097","Johnson County, NE",0.3532
"cty48083","Coleman County, TX",0.353
"cty16049","Idaho County, ID",0.353
"cty42127","Wayne County, PA",0.3518
"cty27161","Waseca County, MN",0.3518
"cty36113","Warren County, NY",0.3518
"cty24029","Kent County, MD",0.3516
"cty29189","St. Louis County, MO",0.3515
"cty42047","Elk County, PA",0.3515
"cty19035","Cherokee County, IA",0.3515
"cty36109","Tompkins County, NY",0.3515
"cty51173","Smyth County, VA",0.3514
"cty19083","Hardin County, IA",0.3513
"cty38017","Cass County, ND",0.3511
"cty05149","Yell County, AR",0.3511
"cty48483","Wheeler County, TX",0.3511
"cty25027","Worcester County, MA",0.351
"cty20141","Osborne County, KS",0.351
"cty48501","Yoakum County, TX",0.3507
"cty09007","Middlesex County, CT",0.3507
"cty28031","Covington County, MS",0.3507
"cty36093","Schenectady County, NY",0.3504
"cty27069","Kittson County, MN",0.3501
"cty20063","Gove County, KS",0.3499
"cty41027","Hood River County, OR",0.3497
"cty36077","Otsego County, NY",0.3496
"cty06081","San Mateo County, CA",0.3495
"cty30067","Park County, MT",0.3495
"cty48069","Castro County, TX",0.349
"cty36091","Saratoga County, NY",0.3489
"cty46065","Hughes County, SD",0.3488
"cty54007","Braxton County, WV",0.3487
"cty36067","Onondaga County, NY",0.3485
"cty37177","Tyrrell County, NC",0.348
"cty19021","Buena Vista County, IA",0.3479
"cty30091","Sheridan County, MT",0.3478
"cty48193","Hamilton County, TX",0.3478
"cty21217","Taylor County, KY",0.3476
"cty17171","Scott County, IL",0.3476
"cty48437","Swisher County, TX",0.3474
"cty33009","Grafton County, NH",0.3472
"cty17019","Champaign County, IL",0.3471
"cty17187","Warren County, IL",0.3469
"cty19167","Sioux County, IA",0.3467
"cty28043","Grenada County, MS",0.3466
"cty36069","Ontario County, NY",0.3465
"cty54097","Upshur County, WV",0.3463
"cty27105","Nobles County, MN",0.3463
"cty17071","Henderson County, IL",0.3462
"cty09005","Litchfield County, CT",0.3461
"cty30009","Carbon County, MT",0.346
"cty17073","Henry County, IL",0.3459
"cty12117","Seminole County, FL",0.3458
"cty09003","Hartford County, CT",0.3458
"cty20143","Ottawa County, KS",0.3457
"cty53055","San Juan County, WA",0.3456
"cty19105","Jones County, IA",0.3452
"cty51640","Galax city, VA",0.3448
"cty48085","Collin County, TX",0.3447
"cty48059","Callahan County, TX",0.3447
"cty26161","Washtenaw County, MI",0.3445
"cty08125","Yuma County, CO",0.3445
"cty20163","Rooks County, KS",0.3441
"cty27083","Lyon County, MN",0.3441
"cty31037","Colfax County, NE",0.344
"cty36043","Herkimer County, NY",0.344
"cty51570","Colonial Heights city, VA",0.3439
"cty29165","Platte County, MO",0.3438
"cty51095","James City County, VA",0.3437
"cty27173","Yellow Medicine County, MN",0.3435
"cty45067","Marion County, SC",0.3435
"cty21153","Magoffin County, KY",0.3433
"cty50021","Rutland County, VT",0.343
"cty30043","Jefferson County, MT",0.343
"cty34009","Cape May County, NJ",0.3429
"cty31019","Buffalo County, NE",0.3429
"cty20029","Cloud County, KS",0.3425
"cty19041","Clay County, IA",0.3425
"cty12059","Holmes County, FL",0.3424
"cty06085","Santa Clara County, CA",0.3423
"cty56017","Hot Springs County, WY",0.3421
"cty13059","Clarke County, GA",0.342
"cty41015","Curry County, OR",0.3418
"cty56023","Lincoln County, WY",0.3415
"cty33011","Hillsborough County, NH",0.3414
"cty51540","Charlottesville city, VA",0.3414
"cty30081","Ravalli County, MT",0.3413
"cty51161","Roanoke County, VA",0.3413
"cty27129","Renville County, MN",0.3411
"cty27063","Jackson County, MN",0.341
"cty30007","Broadwater County, MT",0.341
"cty17009","Brown County, IL",0.3407
"cty51081","Greensville County, VA",0.34
"cty08065","Lake County, CO",0.3399
"cty08069","Larimer County, CO",0.3397
"cty06001","Alameda County, CA",0.3397
"cty30077","Powell County, MT",0.3395
"cty08109","Saguache County, CO",0.3395
"cty29031","Cape Girardeau County, MO",0.3392
"cty51125","Nelson County, VA",0.3391
"cty13191","McIntosh County, GA",0.3389
"cty20043","Doniphan County, KS",0.3389
"cty34021","Mercer County, NJ",0.3389
"cty25019","Nantucket County, MA",0.3388
"cty28125","Sharkey County, MS",0.3387
"cty29199","Scotland County, MO",0.3387
"cty49019","Grand County, UT",0.3387
"cty35013","Do±íáüna County, NM",0.3384
"cty19017","Bremer County, IA",0.3384
"cty35029","Luna County, NM",0.3381
"cty35041","Roosevelt County, NM",0.3381
"cty36041","Hamilton County, NY",0.3375
"cty31119","Madison County, NE",0.3374
"cty20009","Barton County, KS",0.3372
"cty36055","Monroe County, NY",0.3371
"cty20197","Wabaunsee County, KS",0.337
"cty19159","Ringgold County, IA",0.3367
"cty38093","Stutsman County, ND",0.3367
"cty20185","Stafford County, KS",0.3365
"cty48215","Hidalgo County, TX",0.3364
"cty31013","Box Butte County, NE",0.3363
"cty46051","Grant County, SD",0.3361
"cty31165","Sioux County, NE",0.3361
"cty55133","Waukesha County, WI",0.336
"cty20147","Phillips County, KS",0.3359
"cty46127","Union County, SD",0.3358
"cty38101","Ward County, ND",0.3357
"cty37055","Dare County, NC",0.3357
"cty31061","Franklin County, NE",0.3356
"cty51520","Bristol city, VA",0.3355
"cty12086","Miami-Dade County, FL",0.3353
"cty29147","Nodaway County, MO",0.3353
"cty51830","Williamsburg city, VA",0.3349
"cty46081","Lawrence County, SD",0.3349
"cty30065","Musselshell County, MT",0.3349
