"cty","Name","Household_Income_rP_gP_p50"
"cty36059","Nassau County, NY",52133
"cty27169","Winona County, MN",52133
"cty48191","Hall County, TX",52128
"cty19029","Cass County, IA",52125
"cty32017","Lincoln County, NV",52103
"cty48317","Martin County, TX",52091
"cty25021","Norfolk County, MA",52090
"cty48065","Carson County, TX",52075
"cty48333","Mills County, TX",52043
"cty20029","Cloud County, KS",52024
"cty19185","Wayne County, IA",52020
"cty27001","Aitkin County, MN",52008
"cty31147","Richardson County, NE",52003
"cty48319","Mason County, TX",51961
"cty40057","Harmon County, OK",51926
"cty20137","Norton County, KS",51912
"cty55019","Clark County, WI",51900
"cty46029","Codington County, SD",51891
"cty20013","Brown County, KS",51858
"cty55121","Trempealeau County, WI",51838
"cty31021","Burt County, NE",51786
"cty46135","Yankton County, SD",51776
"cty46095","Mellette County, SD",51771
"cty31155","Saunders County, NE",51748
"cty48087","Collingsworth County, TX",51730
"cty46101","Moody County, SD",51721
"cty08061","Kiowa County, CO",51688
"cty19117","Lucas County, IA",51678
"cty27077","Lake of the Woods County, MN",51663
"cty30017","Custer County, MT",51656
"cty27165","Watonwan County, MN",51653
"cty48327","Menard County, TX",51651
"cty19123","Mahaska County, IA",51641
"cty29151","Osage County, MO",51606
"cty19085","Harrison County, IA",51605
"cty30101","Toole County, MT",51577
"cty08091","Ouray County, CO",51571
"cty16061","Lewis County, ID",51566
"cty31031","Cherry County, NE",51515
"cty48255","Karnes County, TX",51514
"cty55015","Calumet County, WI",51510
"cty19169","Story County, IA",51509
"cty56003","Big Horn County, WY",51504
"cty17027","Clinton County, IL",51448
"cty19195","Worth County, IA",51416
"cty46005","Beadle County, SD",51396
"cty20101","Lane County, KS",51394
"cty17085","Jo Daviess County, IL",51373
"cty29041","Chariton County, MO",51373
"cty20189","Stevens County, KS",51364
"cty54093","Tucker County, WV",51361
"cty48359","Oldham County, TX",51327
"cty31145","Red Willow County, NE",51310
"cty18007","Benton County, IN",51301
"cty56027","Niobrara County, WY",51299
"cty40025","Cimarron County, OK",51295
"cty31083","Harlan County, NE",51273
"cty27009","Benton County, MN",51244
"cty48329","Midland County, TX",51214
"cty30045","Judith Basin County, MT",51213
"cty55061","Kewaunee County, WI",51205
"cty17067","Hancock County, IL",51194
"cty48009","Archer County, TX",51164
"cty27005","Becker County, MN",51136
"cty30099","Teton County, MT",51130
"cty38035","Grand Forks County, ND",51121
"cty20181","Sherman County, KS",51070
"cty48211","Hemphill County, TX",51040
"cty17189","Washington County, IL",51035
"cty31119","Madison County, NE",51031
"cty46081","Lawrence County, SD",51008
"cty32009","Esmeralda County, NV",50986
"cty56041","Uinta County, WY",50975
"cty20163","Rooks County, KS",50974
"cty31091","Hooker County, NE",50957
"cty31019","Buffalo County, NE",50921
"cty49051","Wasatch County, UT",50919
"cty48207","Haskell County, TX",50914
"cty40011","Blaine County, OK",50907
"cty08009","Baca County, CO",50907
"cty31101","Keith County, NE",50868
"cty30009","Carbon County, MT",50859
"cty48135","Ector County, TX",50852
"cty46117","Stanley County, SD",50852
"cty46033","Custer County, SD",50837
"cty19177","Van Buren County, IA",50823
"cty40149","Washita County, OK",50823
"cty42063","Indiana County, PA",50819
"cty31131","Otoe County, NE",50812
"cty27139","Scott County, MN",50811
"cty48505","Zapata County, TX",50808
"cty20207","Woodson County, KS",50767
"cty19145","Page County, IA",50754
"cty55109","St. Croix County, WI",50744
"cty19197","Wright County, IA",50722
"cty48125","Dickens County, TX",50721
"cty48425","Somervell County, TX",50706
"cty19121","Madison County, IA",50689
"cty08095","Phillips County, CO",50689
"cty16029","Caribou County, ID",50634
"cty31053","Dodge County, NE",50605
"cty36041","Hamilton County, NY",50601
"cty19137","Montgomery County, IA",50587
"cty51600","Fairfax city, VA",50564
"cty27171","Wright County, MN",50560
"cty20085","Jackson County, KS",50555
"cty31001","Adams County, NE",50551
"cty53023","Garfield County, WA",50549
"cty46019","Butte County, SD",50548
"cty19001","Adair County, IA",50544
"cty16081","Teton County, ID",50527
"cty30105","Valley County, MT",50479
"cty54013","Calhoun County, WV",50478
"cty20095","Kingman County, KS",50478
"cty42031","Clarion County, PA",50459
"cty19079","Hamilton County, IA",50451
"cty55099","Price County, WI",50447
"cty46109","Roberts County, SD",50444
"cty20113","McPherson County, KS",50444
"cty55089","Ozaukee County, WI",50442
"cty48377","Presidio County, TX",50435
"cty19015","Boone County, IA",50412
"cty17049","Effingham County, IL",50395
"cty49055","Wayne County, UT",50394
"cty20109","Logan County, KS",50392
"cty19125","Marion County, IA",50392
"cty31123","Morrill County, NE",50377
"cty27147","Steele County, MN",50334
"cty08075","Logan County, CO",50325
"cty20047","Edwards County, KS",50325
"cty02230","Skagway Municipality, AK",50307
"cty27013","Blue Earth County, MN",50306
"cty27163","Washington County, MN",50290
"cty55107","Rusk County, WI",50273
"cty08113","San Miguel County, CO",50248
"cty56045","Weston County, WY",50239
"cty27047","Freeborn County, MN",50233
"cty48503","Young County, TX",50195
"cty34019","Hunterdon County, NJ",50188
"cty17133","Monroe County, IL",50169
"cty36085","Richmond County, NY",50142
"cty19071","Fremont County, IA",50133
"cty17149","Pike County, IL",50128
"cty49015","Emery County, UT",50122
"cty20185","Stafford County, KS",50119
"cty46065","Hughes County, SD",50108
"cty20027","Clay County, KS",50051
"cty08121","Washington County, CO",50046
"cty25019","Nantucket County, MA",50032
"cty51107","Loudoun County, VA",50022
"cty08021","Conejos County, CO",50009
"cty55029","Door County, WI",50008
"cty56013","Fremont County, WY",49999
"cty20149","Pottawatomie County, KS",49996
"cty56029","Park County, WY",49954
"cty20075","Hamilton County, KS",49937
"cty48115","Dawson County, TX",49920
"cty30007","Broadwater County, MT",49892
"cty16049","Idaho County, ID",49890
"cty48371","Pecos County, TX",49881
"cty40067","Jefferson County, OK",49877
"cty19135","Monroe County, IA",49869
"cty42005","Armstrong County, PA",49869
"cty48123","DeWitt County, TX",49853
"cty55123","Vernon County, WI",49847
"cty20031","Coffey County, KS",49842
"cty29129","Mercer County, MO",49832
"cty30061","Mineral County, MT",49820
"cty19049","Dallas County, IA",49807
"cty51610","Falls Church city, VA",49802
"cty29033","Carroll County, MO",49794
"cty22023","Cameron Parish, LA",49785
"cty48263","Kent County, TX",49767
"cty53037","Kittitas County, WA",49767
"cty17071","Henderson County, IL",49750
"cty19183","Washington County, IA",49722
"cty20143","Ottawa County, KS",49714
"cty06075","San Francisco County, CA",49697
"cty18087","LaGrange County, IN",49691
"cty40039","Custer County, OK",49684
"cty48337","Montague County, TX",49673
"cty56025","Natrona County, WY",49670
"cty19175","Union County, IA",49654
"cty48173","Glasscock County, TX",49636
"cty25017","Middlesex County, MA",49592
"cty27037","Dakota County, MN",49584
"cty17043","DuPage County, IL",49563
"cty08107","Routt County, CO",49561
"cty30051","Liberty County, MT",49554
"cty56033","Sheridan County, WY",49551
"cty55017","Chippewa County, WI",49548
"cty34023","Middlesex County, NJ",49546
"cty55005","Barron County, WI",49525
"cty48369","Parmer County, TX",49524
"cty19171","Tama County, IA",49520
"cty39121","Noble County, OH",49520
"cty20145","Pawnee County, KS",49519
"cty48391","Refugio County, TX",49515
"cty48289","Leon County, TX",49515
"cty19181","Warren County, IA",49508
"cty55131","Washington County, WI",49501
"cty20009","Barton County, KS",49500
"cty19039","Clarke County, IA",49456
"cty39111","Monroe County, OH",49455
"cty56037","Sweetwater County, WY",49440
