"cty","Name","Household_Income_rP_gP_pall"
"cty31151","Saline County, NE",55713
"cty17189","Washington County, IL",55708
"cty27033","Cottonwood County, MN",55695
"cty19047","Crawford County, IA",55693
"cty49009","Daggett County, UT",55683
"cty19025","Calhoun County, IA",55682
"cty35028","Los Alamos County, NM",55682
"cty31165","Sioux County, NE",55673
"cty20025","Clark County, KS",55670
"cty19011","Benton County, IA",55659
"cty44001","Bristol County, RI",55650
"cty17063","Grundy County, IL",55647
"cty40129","Roger Mills County, OK",55633
"cty46009","Bon Homme County, SD",55615
"cty09001","Fairfield County, CT",55614
"cty31073","Gosper County, NE",55602
"cty36103","Suffolk County, NY",55583
"cty39055","Geauga County, OH",55561
"cty31121","Merrick County, NE",55556
"cty46065","Hughes County, SD",55507
"cty46015","Brule County, SD",55505
"cty30075","Powder River County, MT",55501
"cty19077","Guthrie County, IA",55499
"cty55043","Grant County, WI",55495
"cty19021","Buena Vista County, IA",55489
"cty19103","Johnson County, IA",55475
"cty48085","Collin County, TX",55459
"cty19181","Warren County, IA",55445
"cty31087","Hitchcock County, NE",55430
"cty55061","Kewaunee County, WI",55407
"cty20033","Comanche County, KS",55390
"cty20119","Meade County, KS",55383
"cty27169","Winona County, MN",55366
"cty08107","Routt County, CO",55361
"cty20023","Cheyenne County, KS",55356
"cty31099","Kearney County, NE",55355
"cty27141","Sherburne County, MN",55340
"cty19089","Howard County, IA",55314
"cty47187","Williamson County, TN",55299
"cty31033","Cheyenne County, NE",55272
"cty40003","Alfalfa County, OK",55253
"cty56019","Johnson County, WY",55229
"cty48003","Andrews County, TX",55224
"cty35021","Harding County, NM",55213
"cty20171","Scott County, KS",55213
"cty27131","Rice County, MN",55207
"cty30091","Sheridan County, MT",55194
"cty48383","Reagan County, TX",55190
"cty19065","Fayette County, IA",55182
"cty56041","Uinta County, WY",55157
"cty08113","San Miguel County, CO",55156
"cty20197","Wabaunsee County, KS",55131
"cty27105","Nobles County, MN",55116
"cty20165","Rush County, KS",55112
"cty31051","Dixon County, NE",55085
"cty27107","Norman County, MN",55043
"cty27023","Chippewa County, MN",55026
"cty19067","Floyd County, IA",55023
"cty51600","Fairfax city, VA",55013
"cty55065","Lafayette County, WI",54974
"cty27161","Waseca County, MN",54941
"cty48175","Goliad County, TX",54917
"cty30011","Carter County, MT",54917
"cty20183","Smith County, KS",54916
"cty46035","Davison County, SD",54883
"cty25023","Plymouth County, MA",54845
"cty19041","Clay County, IA",54839
"cty09007","Middlesex County, CT",54837
"cty30095","Stillwater County, MT",54823
"cty27091","Martin County, MN",54822
"cty49011","Davis County, UT",54793
"cty17049","Effingham County, IL",54785
"cty19015","Boone County, IA",54762
"cty31175","Valley County, NE",54758
"cty19097","Jackson County, IA",54676
"cty27119","Polk County, MN",54674
"cty48009","Archer County, TX",54674
"cty55039","Fond du Lac County, WI",54655
