"cty","Name","Household_Income_rP_gP_pall"
"cty26101","Manistee County, MI",43829
"cty06093","Siskiyou County, CA",43827
"cty48389","Reeves County, TX",43816
"cty24001","Allegany County, MD",43802
"cty16059","Lemhi County, ID",43785
"cty36073","Orleans County, NY",43783
"cty18023","Clinton County, IN",43777
"cty53041","Lewis County, WA",43776
"cty51750","Radford city, VA",43774
"cty40145","Wagoner County, OK",43751
"cty05053","Grant County, AR",43740
"cty23001","Androscoggin County, ME",43739
"cty22011","Beauregard Parish, LA",43733
"cty29057","Dade County, MO",43712
"cty41017","Deschutes County, OR",43711
"cty20173","Sedgwick County, KS",43699
"cty23007","Franklin County, ME",43671
"cty20055","Finney County, KS",43669
"cty23019","Penobscot County, ME",43665
"cty40011","Blaine County, OK",43657
"cty16003","Adams County, ID",43649
"cty16087","Washington County, ID",43648
"cty05007","Benton County, AR",43646
"cty29043","Christian County, MO",43646
"cty50025","Windham County, VT",43646
"cty39081","Jefferson County, OH",43639
"cty16009","Benewah County, ID",43629
"cty18089","Lake County, IN",43627
"cty13177","Lee County, GA",43618
"cty53071","Walla Walla County, WA",43611
"cty29127","Marion County, MO",43583
"cty50017","Orange County, VT",43577
"cty29089","Howard County, MO",43542
"cty15009","Maui County, HI",43536
"cty26113","Missaukee County, MI",43520
"cty53003","Asotin County, WA",43514
"cty48133","Eastland County, TX",43502
"cty53039","Klickitat County, WA",43491
"cty13029","Bryan County, GA",43487
"cty48439","Tarrant County, TX",43486
"cty05045","Faulkner County, AR",43485
"cty36017","Chenango County, NY",43482
"cty36003","Allegany County, NY",43477
"cty53019","Ferry County, WA",43474
"cty17087","Johnson County, IL",43465
"cty41027","Hood River County, OR",43463
"cty20057","Ford County, KS",43449
"cty06073","San Diego County, CA",43447
"cty32510","Carson City, NV",43446
"cty45063","Lexington County, SC",43428
"cty48041","Brazos County, TX",43428
"cty39065","Hardin County, OH",43422
"cty51149","Prince George County, VA",43422
"cty54071","Pendleton County, WV",43408
"cty48159","Franklin County, TX",43378
"cty29171","Putnam County, MO",43368
"cty48125","Dickens County, TX",43365
"cty46075","Jones County, SD",43363
"cty17201","Winnebago County, IL",43350
"cty48201","Harris County, TX",43350
"cty21123","Larue County, KY",43349
"cty41001","Baker County, OR",43343
"cty06087","Santa Cruz County, CA",43334
"cty06043","Mariposa County, CA",43333
"cty18091","LaPorte County, IN",43328
"cty41071","Yamhill County, OR",43326
"cty30089","Sanders County, MT",43324
"cty16039","Elmore County, ID",43323
"cty40143","Tulsa County, OK",43320
"cty22001","Acadia Parish, LA",43316
"cty18161","Union County, IN",43313
"cty34013","Essex County, NJ",43298
"cty54007","Braxton County, WV",43297
"cty36033","Franklin County, NY",43296
"cty17121","Marion County, IL",43293
"cty51009","Amherst County, VA",43292
"cty53015","Cowlitz County, WA",43285
"cty48409","San Patricio County, TX",43263
"cty17077","Jackson County, IL",43256
"cty21145","McCracken County, KY",43248
"cty21239","Woodford County, KY",43247
"cty51185","Tazewell County, VA",43245
"cty17101","Lawrence County, IL",43242
"cty48473","Waller County, TX",43238
"cty21215","Spencer County, KY",43208
"cty36035","Fulton County, NY",43194
"cty39029","Columbiana County, OH",43187
"cty23003","Aroostook County, ME",43170
"cty18055","Greene County, IN",43168
"cty22019","Calcasieu Parish, LA",43158
"cty40083","Logan County, OK",43150
"cty26029","Charlevoix County, MI",43144
"cty26097","Mackinac County, MI",43138
"cty22039","Evangeline Parish, LA",43113
"cty08085","Montrose County, CO",43082
"cty26075","Jackson County, MI",43071
"cty48031","Blanco County, TX",43052
"cty29011","Barton County, MO",43050
"cty55051","Iron County, WI",43030
"cty21107","Hopkins County, KY",42995
"cty48369","Parmer County, TX",42979
"cty39089","Licking County, OH",42962
"cty21201","Robertson County, KY",42954
"cty39117","Morrow County, OH",42945
"cty53047","Okanogan County, WA",42937
"cty17081","Jefferson County, IL",42915
"cty23015","Lincoln County, ME",42906
"cty26105","Mason County, MI",42845
"cty41065","Wasco County, OR",42844
"cty29079","Grundy County, MO",42833
"cty28121","Rankin County, MS",42832
"cty48485","Wichita County, TX",42830
"cty48325","Medina County, TX",42823
"cty29027","Callaway County, MO",42817
"cty54057","Mineral County, WV",42813
"cty26107","Mecosta County, MI",42807
"cty18165","Vermillion County, IN",42792
"cty29083","Henry County, MO",42790
"cty17031","Cook County, IL",42789
"cty06067","Sacramento County, CA",42785
"cty35059","Union County, NM",42781
"cty13103","Effingham County, GA",42775
"cty48291","Liberty County, TX",42767
"cty51187","Warren County, VA",42762
"cty40069","Johnston County, OK",42741
"cty53027","Grays Harbor County, WA",42739
"cty51063","Floyd County, VA",42735
"cty39021","Champaign County, OH",42730
"cty18135","Randolph County, IN",42728
"cty23021","Piscataquis County, ME",42721
"cty48017","Bailey County, TX",42712
"cty01075","Lamar County, AL",42707
"cty39035","Cuyahoga County, OH",42701
"cty54001","Barbour County, WV",42699
"cty32001","Churchill County, NV",42693
"cty32031","Washoe County, NV",42684
"cty39093","Lorain County, OH",42680
"cty26119","Montmorency County, MI",42670
"cty48441","Taylor County, TX",42669
"cty47159","Smith County, TN",42619
"cty41059","Umatilla County, OR",42563
"cty21035","Calloway County, KY",42561
"cty05025","Cleveland County, AR",42553
"cty48453","Travis County, TX",42552
"cty53021","Franklin County, WA",42545
"cty41039","Lane County, OR",42483
"cty26023","Branch County, MI",42481
"cty48183","Gregg County, TX",42471
"cty16015","Boise County, ID",42470
"cty29211","Sullivan County, MO",42468
"cty54107","Wood County, WV",42466
"cty48249","Jim Wells County, TX",42462
"cty28039","George County, MS",42460
"cty37029","Camden County, NC",42448
"cty26149","St. Joseph County, MI",42441
"cty29007","Audrain County, MO",42437
"cty22121","West Baton Rouge Parish, LA",42435
"cty41035","Klamath County, OR",42424
"cty53009","Clallam County, WA",42413
"cty22123","West Carroll Parish, LA",42398
"cty21027","Breckinridge County, KY",42384
"cty39033","Crawford County, OH",42378
"cty51119","Middlesex County, VA",42373
"cty06101","Sutter County, CA",42368
"cty36105","Sullivan County, NY",42363
"cty48403","Sabine County, TX",42358
"cty39155","Trumbull County, OH",42354
"cty18167","Vigo County, IN",42353
"cty21083","Graves County, KY",42346
"cty48481","Wharton County, TX",42339
"cty48197","Hardeman County, TX",42339
"cty17199","Williamson County, IL",42335
"cty18103","Miami County, IN",42318
"cty48187","Guadalupe County, TX",42313
"cty04025","Yavapai County, AZ",42311
"cty06069","San Benito County, CA",42309
"cty21101","Henderson County, KY",42306
"cty21115","Johnson County, KY",42296
"cty54037","Jefferson County, WV",42290
"cty04013","Maricopa County, AZ",42289
"cty06089","Shasta County, CA",42287
"cty41007","Clatsop County, OR",42283
"cty29145","Newton County, MO",42283
"cty08043","Fremont County, CO",42279
"cty54035","Jackson County, WV",42272
"cty29161","Phelps County, MO",42268
"cty40055","Greer County, OK",42261
"cty21029","Bullitt County, KY",42255
"cty48119","Delta County, TX",42254
"cty53069","Wahkiakum County, WA",42237
"cty05009","Boone County, AR",42236
"cty37167","Stanly County, NC",42234
"cty37179","Union County, NC",42232
"cty48401","Rusk County, TX",42195
"cty17055","Franklin County, IL",42180
"cty39135","Preble County, OH",42176
"cty05143","Washington County, AR",42174
"cty16075","Payette County, ID",42169
"cty05145","White County, AR",42154
"cty26133","Osceola County, MI",42142
"cty41057","Tillamook County, OR",42136
"cty54081","Raleigh County, WV",42119
"cty21009","Barren County, KY",42107
"cty48035","Bosque County, TX",42106
"cty20001","Allen County, KS",42101
"cty21033","Caldwell County, KY",42098
"cty48115","Dawson County, TX",42095
"cty12115","Sarasota County, FL",42084
"cty48499","Wood County, TX",42084
"cty28041","Greene County, MS",42083
"cty26123","Newaygo County, MI",42082
"cty51830","Williamsburg city, VA",42079
"cty21041","Carroll County, KY",42071
"cty51021","Bland County, VA",42060
"cty51093","Isle of Wight County, VA",42056
"cty13247","Rockdale County, GA",42050
"cty40085","Love County, OK",42047
"cty48273","Kleberg County, TX",42047
"cty39139","Richland County, OH",42045
"cty39095","Lucas County, OH",42031
"cty51047","Culpeper County, VA",42029
"cty29021","Buchanan County, MO",42028
"cty22053","Jefferson Davis Parish, LA",42019
"cty40117","Pawnee County, OK",42018
"cty26059","Hillsdale County, MI",42016
"cty39129","Pickaway County, OH",42013
"cty51550","Chesapeake city, VA",41962
"cty02110","Juneau City and Borough, AK",41961
"cty01077","Lauderdale County, AL",41957
"cty22051","Jefferson Parish, LA",41937
"cty48505","Zapata County, TX",41934
"cty51163","Rockbridge County, VA",41930
"cty18067","Howard County, IN",41926
"cty26027","Cass County, MI",41926
"cty20175","Seward County, KS",41926
"cty54017","Doddridge County, WV",41916
"cty29199","Scotland County, MO",41907
"cty23013","Knox County, ME",41901
"cty41047","Marion County, OR",41889
"cty48013","Atascosa County, TX",41885
"cty22125","West Feliciana Parish, LA",41875
"cty29077","Greene County, MO",41869
"cty48467","Van Zandt County, TX",41866
"cty51011","Appomattox County, VA",41851
"cty47031","Coffee County, TN",41840
"cty48093","Comanche County, TX",41836
"cty17163","St. Clair County, IL",41835
"cty29013","Bates County, MO",41830
"cty08001","Adams County, CO",41809
"cty39097","Madison County, OH",41793
"cty51065","Fluvanna County, VA",41780
"cty39115","Morgan County, OH",41776
"cty21183","Ohio County, KY",41775
"cty54091","Taylor County, WV",41767
"cty06007","Butte County, CA",41765
"cty26127","Oceana County, MI",41759
"cty47149","Rutherford County, TN",41754
"cty01003","Baldwin County, AL",41748
"cty40081","Lincoln County, OK",41747
"cty26009","Antrim County, MI",41747
"cty18019","Clark County, IN",41747
"cty47103","Lincoln County, TN",41736
"cty48299","Llano County, TX",41735
"cty30061","Mineral County, MT",41731
"cty26013","Baraga County, MI",41722
"cty22095","St. John the Baptist Parish, LA",41712
"cty28089","Madison County, MS",41710
"cty48223","Hopkins County, TX",41701
"cty26153","Schoolcraft County, MI",41696
"cty51685","Manassas Park city, VA",41691
"cty41025","Harney County, OR",41683
"cty08099","Prowers County, CO",41680
"cty39031","Coshocton County, OH",41671
"cty21089","Greenup County, KY",41659
"cty54039","Kanawha County, WV",41641
"cty08071","Las Animas County, CO",41639
"cty21067","Fayette County, KY",41622
"cty17183","Vermilion County, IL",41616
"cty20125","Montgomery County, KS",41604
"cty54063","Monroe County, WV",41593
"cty04009","Graham County, AZ",41556
"cty08083","Montezuma County, CO",41555
"cty29159","Pettis County, MO",41548
"cty24047","Worcester County, MD",41533
"cty26165","Wexford County, MI",41529
"cty37055","Dare County, NC",41528
"cty48111","Dallam County, TX",41497
"cty08065","Lake County, CO",41495
"cty51113","Madison County, VA",41492
"cty54023","Grant County, WV",41490
"cty12021","Collier County, FL",41490
"cty29029","Camden County, MO",41488
"cty40067","Jefferson County, OK",41483
"cty48253","Jones County, TX",41477
"cty37089","Henderson County, NC",41475
"cty20049","Elk County, KS",41474
"cty01089","Madison County, AL",41472
"cty47039","Decatur County, TN",41467
"cty41051","Multnomah County, OR",41466
"cty48423","Smith County, TX",41455
"cty26145","Saginaw County, MI",41443
"cty51071","Giles County, VA",41439
"cty33019","Sullivan County, NH",41439
"cty53077","Yakima County, WA",41436
"cty48245","Jefferson County, TX",41430
"cty21223","Trimble County, KY",41427
"cty26021","Berrien County, MI",41417
"cty40049","Garvin County, OK",41415
"cty39049","Franklin County, OH",41409
"cty40037","Creek County, OK",41406
"cty04005","Coconino County, AZ",41399
"cty48471","Walker County, TX",41399
"cty41043","Linn County, OR",41377
"cty21211","Shelby County, KY",41377
"cty34017","Hudson County, NJ",41374
"cty29061","Daviess County, MO",41373
"cty18075","Jay County, IN",41364
"cty48131","Duval County, TX",41359
"cty48399","Runnels County, TX",41349
"cty47085","Humphreys County, TN",41344
"cty39059","Guernsey County, OH",41343
"cty26025","Calhoun County, MI",41343
"cty21227","Warren County, KY",41331
"cty12043","Glades County, FL",41330
"cty13151","Henry County, GA",41315
"cty54041","Lewis County, WV",41307
"cty39119","Muskingum County, OH",41305
"cty48181","Grayson County, TX",41302
"cty29081","Harrison County, MO",41296
"cty47147","Robertson County, TN",41290
"cty51141","Patrick County, VA",41280
"cty30047","Lake County, MT",41274
"cty51159","Richmond County, VA",41274
"cty21093","Hardin County, KY",41266
"cty06029","Kern County, CA",41265
"cty48281","Lampasas County, TX",41239
"cty22015","Bossier Parish, LA",41237
"cty48049","Brown County, TX",41237
"cty47051","Franklin County, TN",41223
"cty51133","Northumberland County, VA",41220
"cty05125","Saline County, AR",41211
"cty41013","Crook County, OR",41210
"cty02020","Anchorage Municipality, AK",41201
"cty23009","Hancock County, ME",41188
"cty47001","Anderson County, TN",41186
"cty40123","Pontotoc County, OK",41179
"cty48459","Upshur County, TX",41175
"cty39101","Marion County, OH",41174
"cty48019","Bandera County, TX",41168
"cty36097","Schuyler County, NY",41167
"cty54067","Nicholas County, WV",41166
"cty47043","Dickson County, TN",41164
"cty16073","Owyhee County, ID",41138
"cty06077","San Joaquin County, CA",41136
"cty29131","Miller County, MO",41136
"cty48451","Tom Green County, TX",41113
"cty40019","Carter County, OK",41108
"cty22049","Jackson Parish, LA",41100
"cty40095","Marshall County, OK",41098
"cty08003","Alamosa County, CO",41098
"cty26033","Chippewa County, MI",41089
"cty26051","Gladwin County, MI",41082
"cty37197","Yadkin County, NC",41065
"cty29197","Schuyler County, MO",41061
"cty40077","Latimer County, OK",41060
"cty48307","McCulloch County, TX",41052
"cty45035","Dorchester County, SC",41048
"cty23023","Sagadahoc County, ME",41045
"cty06099","Stanislaus County, CA",41043
"cty48007","Aransas County, TX",41039
"cty40065","Jackson County, OK",41038
"cty40105","Nowata County, OK",41037
"cty22033","East Baton Rouge Parish, LA",41035
"cty41029","Jackson County, OR",41027
"cty40097","Mayes County, OK",41027
"cty45045","Greenville County, SC",41022
"cty12019","Clay County, FL",41017
"cty55113","Sawyer County, WI",40994
"cty37121","Mitchell County, NC",40984
"cty21111","Jefferson County, KY",40978
"cty13311","White County, GA",40977
"cty37119","Mecklenburg County, NC",40974
"cty40033","Cotton County, OK",40972
"cty05115","Pope County, AR",40969
"cty37025","Cabarrus County, NC",40964
"cty51197","Wythe County, VA",40925
"cty48379","Rains County, TX",40925
"cty18117","Orange County, IN",40921
"cty48275","Knox County, TX",40913
"cty55001","Adams County, WI",40912
"cty23017","Oxford County, ME",40909
"cty12067","Lafayette County, FL",40903
"cty21141","Logan County, KY",40897
"cty21143","Lyon County, KY",40895
"cty23025","Somerset County, ME",40888
"cty21163","Meade County, KY",40885
"cty06033","Lake County, CA",40878
"cty26129","Ogemaw County, MI",40878
"cty48265","Kerr County, TX",40877
"cty51057","Essex County, VA",40851
"cty18065","Henry County, IN",40842
"cty26159","Van Buren County, MI",40835
"cty05087","Madison County, AR",40823
"cty08089","Otero County, CO",40820
"cty17151","Pope County, IL",40820
"cty35045","San Juan County, NM",40809
"cty48443","Terrell County, TX",40800
"cty05029","Conway County, AR",40797
"cty48303","Lubbock County, TX",40776
"cty21217","Taylor County, KY",40772
"cty01129","Washington County, AL",40769
"cty20021","Cherokee County, KS",40766
"cty05063","Independence County, AR",40764
"cty48053","Burnet County, TX",40746
"cty15001","Hawaii County, HI",40746
"cty51137","Orange County, VA",40745
"cty48153","Floyd County, TX",40740
"cty28033","DeSoto County, MS",40736
"cty29109","Lawrence County, MO",40732
"cty22061","Lincoln Parish, LA",40729
"cty18093","Lawrence County, IN",40720
"cty13145","Harris County, GA",40699
"cty48457","Tyler County, TX",40697
"cty22097","St. Landry Parish, LA",40686
"cty01059","Franklin County, AL",40679
"cty21219","Todd County, KY",40676
"cty21021","Boyle County, KY",40650
"cty01031","Coffee County, AL",40647
"cty54003","Berkeley County, WV",40641
"cty12091","Okaloosa County, FL",40632
"cty01081","Lee County, AL",40627
"cty30033","Garfield County, MT",40626
"cty37169","Stokes County, NC",40621
"cty55079","Milwaukee County, WI",40610
"cty26117","Montcalm County, MI",40610
"cty17127","Massac County, IL",40609
"cty48257","Kaufman County, TX",40606
"cty06037","Los Angeles County, CA",40593
"cty02122","Kenai Peninsula Borough, AK",40585
"cty47119","Maury County, TN",40576
"cty29195","Saline County, MO",40572
"cty54085","Ritchie County, WV",40563
"cty16027","Canyon County, ID",40562
"cty41015","Curry County, OR",40539
"cty39027","Clinton County, OH",40528
"cty47117","Marshall County, TN",40523
"cty34001","Atlantic County, NJ",40515
"cty30035","Glacier County, MT",40513
"cty47083","Houston County, TN",40492
"cty05109","Pike County, AR",40492
"cty51097","King and Queen County, VA",40490
"cty40029","Coal County, OK",40484
"cty18149","Starke County, IN",40475
"cty05031","Craighead County, AR",40467
"cty48355","Nueces County, TX",40462
"cty29167","Polk County, MO",40460
"cty01103","Morgan County, AL",40425
"cty26001","Alcona County, MI",40424
"cty45003","Aiken County, SC",40420
"cty37125","Moore County, NC",40409
"cty26121","Muskegon County, MI",40402
"cty22003","Allen Parish, LA",40401
"cty35027","Lincoln County, NM",40382
"cty21221","Trigg County, KY",40375
"cty10001","Kent County, DE",40369
"cty37053","Currituck County, NC",40364
"cty29097","Jasper County, MO",40362
"cty47093","Knox County, TN",40359
"cty06023","Humboldt County, CA",40355
"cty51790","Staunton city, VA",40350
"cty29125","Maries County, MO",40324
"cty21005","Anderson County, KY",40324
"cty40109","Oklahoma County, OK",40321
"cty54101","Webster County, WV",40320
"cty47021","Cheatham County, TN",40319
"cty54021","Gilmer County, WV",40317
"cty48075","Childress County, TX",40294
"cty37067","Forsyth County, NC",40293
"cty06105","Trinity County, CA",40292
"cty48173","Glasscock County, TX",40287
"cty54025","Greenbrier County, WV",40285
"cty06071","San Bernardino County, CA",40284
"cty29185","St. Clair County, MO",40260
"cty05005","Baxter County, AR",40256
"cty30037","Golden Valley County, MT",40239
"cty02090","Fairbanks North Star Borough, AK",40238
"cty48067","Cass County, TX",40232
"cty01115","St. Clair County, AL",40222
"cty48445","Terry County, TX",40213
"cty41045","Malheur County, OR",40202
"cty18035","Delaware County, IN",40200
"cty12087","Monroe County, FL",40196
"cty48025","Bee County, TX",40196
"cty22009","Avoyelles Parish, LA",40182
"cty24045","Wicomico County, MD",40180
"cty01029","Cleburne County, AL",40170
"cty51103","Lancaster County, VA",40166
"cty28141","Tishomingo County, MS",40160
"cty01043","Cullman County, AL",40158
"cty13083","Dade County, GA",40148
"cty51079","Greene County, VA",40147
"cty12113","Santa Rosa County, FL",40134
"cty18175","Washington County, IN",40126
"cty21161","Mason County, KY",40125
"cty51167","Russell County, VA",40125
"cty39113","Montgomery County, OH",40117
"cty35049","Santa Fe County, NM",40113
"cty48005","Angelina County, TX",40113
"cty01057","Fayette County, AL",40109
"cty48083","Coleman County, TX",40108
"cty51125","Nelson County, VA",40103
"cty48353","Nolan County, TX",40097
"cty13153","Houston County, GA",40088
"cty22021","Caldwell Parish, LA",40082
"cty22101","St. Mary Parish, LA",40079
"cty22077","Pointe Coupee Parish, LA",40054
"cty54019","Fayette County, WV",40046
"cty48465","Val Verde County, TX",40043
"cty12001","Alachua County, FL",40038
"cty37087","Haywood County, NC",40026
"cty54083","Randolph County, WV",40024
"cty05047","Franklin County, AR",40024
"cty54027","Hampshire County, WV",40017
"cty22043","Grant Parish, LA",40016
"cty48241","Jasper County, TX",40014
"cty21213","Simpson County, KY",40012
"cty54011","Cabell County, WV",40012
"cty47009","Blount County, TN",40003
"cty21105","Hickman County, KY",39999
"cty40113","Osage County, OK",39995
"cty08105","Rio Grande County, CO",39984
"cty51720","Norton city, VA",39980
"cty47015","Cannon County, TN",39974
"cty05085","Lonoke County, AR",39974
"cty51067","Franklin County, VA",39972
"cty10005","Sussex County, DE",39969
"cty13085","Dawson County, GA",39944
"cty12035","Flagler County, FL",39942
"cty47183","Weakley County, TN",39932
"cty12015","Charlotte County, FL",39932
"cty32019","Lyon County, NV",39929
"cty41019","Douglas County, OR",39918
"cty37043","Clay County, NC",39917
"cty47141","Putnam County, TN",39914
"cty37001","Alamance County, NC",39913
"cty48429","Stephens County, TX",39909
"cty37005","Alleghany County, NC",39887
"cty01071","Jackson County, AL",39869
"cty01001","Autauga County, AL",39869
"cty29209","Stone County, MO",39866
"cty13039","Camden County, GA",39863
"cty48279","Lamb County, TX",39863
"cty21073","Franklin County, KY",39861
"cty37021","Buncombe County, NC",39848
"cty26069","Iosco County, MI",39845
"cty01009","Blount County, AL",39844
"cty54105","Wirt County, WV",39837
"cty39007","Ashtabula County, OH",39836
"cty12089","Nassau County, FL",39823
"cty25025","Suffolk County, MA",39822
"cty12073","Leon County, FL",39817
"cty22047","Iberville Parish, LA",39817
"cty18079","Jennings County, IN",39813
"cty13077","Coweta County, GA",39810
"cty51143","Pittsylvania County, VA",39801
"cty37113","Macon County, NC",39798
"cty22045","Iberia Parish, LA",39795
"cty51045","Craig County, VA",39793
"cty40079","Le Flore County, OK",39781
"cty35009","Curry County, NM",39780
"cty48069","Castro County, TX",39778
"cty53045","Mason County, WA",39777
"cty37035","Catawba County, NC",39769
"cty47017","Carroll County, TN",39767
"cty35001","Bernalillo County, NM",39760
"cty04003","Cochise County, AZ",39755
"cty45073","Oconee County, SC",39752
"cty13223","Paulding County, GA",39748
"cty18155","Switzerland County, IN",39737
"cty40057","Harmon County, OK",39735
"cty48191","Hall County, TX",39734
"cty06065","Riverside County, CA",39714
"cty08053","Hinsdale County, CO",39712
"cty37081","Guilford County, NC",39711
"cty12099","Palm Beach County, FL",39699
"cty06021","Glenn County, CA",39698
"cty26031","Cheboygan County, MI",39695
"cty41011","Coos County, OR",39672
"cty16079","Shoshone County, ID",39651
"cty13137","Habersham County, GA",39651
"cty06053","Monterey County, CA",39628
"cty21209","Scott County, KY",39615
"cty48419","Shelby County, TX",39607
"cty08109","Saguache County, CO",39602
"cty45091","York County, SC",39592
"cty21077","Gallatin County, KY",39591
"cty48411","San Saba County, TX",39588
"cty51620","Franklin city, VA",39578
"cty13097","Douglas County, GA",39571
"cty22099","St. Martin Parish, LA",39564
"cty45013","Beaufort County, SC",39552
"cty51820","Waynesboro city, VA",39545
"cty29201","Scott County, MO",39533
"cty29039","Cedar County, MO",39533
"cty05131","Sebastian County, AR",39529
"cty18095","Madison County, IN",39510
"cty35043","Sandoval County, NM",39507
"cty54099","Wayne County, WV",39503
"cty12009","Brevard County, FL",39501
"cty51169","Scott County, VA",39495
"cty37171","Surry County, NC",39482
"cty05023","Cleburne County, AR",39482
"cty37037","Chatham County, NC",39477
"cty37193","Wilkes County, NC",39468
"cty39023","Clark County, OH",39466
"cty02195","Petersburg Borough, AK",39461
"cty04007","Gila County, AZ",39460
"cty48271","Kinney County, TX",39450
"cty01079","Lawrence County, AL",39447
"cty12011","Broward County, FL",39445
"cty37109","Lincoln County, NC",39445
"cty46007","Bennett County, SD",39434
"cty21087","Green County, KY",39433
"cty37099","Jackson County, NC",39420
"cty18009","Blackford County, IN",39419
"cty01039","Covington County, AL",39408
"cty47163","Sullivan County, TN",39406
"cty37031","Carteret County, NC",39404
"cty37175","Transylvania County, NC",39400
"cty13139","Hall County, GA",39390
"cty26049","Genesee County, MI",39389
"cty54065","Morgan County, WV",39386
"cty48117","Deaf Smith County, TX",39386
"cty48231","Hunt County, TX",39384
"cty39009","Athens County, OH",39383
"cty48373","Polk County, TX",39379
"cty51175","Southampton County, VA",39374
"cty54005","Boone County, WV",39357
"cty37129","New Hanover County, NC",39356
"cty01033","Colbert County, AL",39353
"cty51051","Dickenson County, VA",39353
"cty05141","Van Buren County, AR",39344
"cty48147","Fannin County, TX",39342
"cty54055","Mercer County, WV",39334
"cty29091","Howell County, MO",39333
"cty29179","Reynolds County, MO",39332
"cty13047","Catoosa County, GA",39332
"cty18013","Brown County, IN",39321
"cty48487","Wilbarger County, TX",39315
"cty29207","Stoddard County, MO",39309
"cty28071","Lafayette County, MS",39299
"cty01083","Limestone County, AL",39295
"cty37101","Johnston County, NC",39293
"cty40031","Comanche County, OK",39284
"cty39127","Perry County, OH",39274
"cty01027","Clay County, AL",39269
"cty24033","Prince George's County, MD",39268
"cty05121","Randolph County, AR",39268
"cty40013","Bryan County, OK",39258
"cty06103","Tehama County, CA",39241
"cty22115","Vernon Parish, LA",39236
"cty05105","Perry County, AR",39233
"cty18177","Wayne County, IN",39225
"cty32029","Storey County, NV",39218
"cty05027","Columbia County, AR",39215
"cty26143","Roscommon County, MI",39212
"cty01051","Elmore County, AL",39210
"cty48185","Grimes County, TX",39209
"cty48363","Palo Pinto County, TX",39197
"cty51680","Lynchburg city, VA",39197
"cty54087","Roane County, WV",39191
"cty51630","Fredericksburg city, VA",39171
"cty41041","Lincoln County, OR",39153
"cty40061","Haskell County, OK",39150
"cty50009","Essex County, VT",39134
"cty29213","Taney County, MO",39133
"cty54053","Mason County, WV",39131
"cty48203","Harrison County, TX",39129
"cty37149","Polk County, NC",39126
"cty47023","Chester County, TN",39110
"cty48437","Swisher County, TX",39096
"cty18025","Crawford County, IN",39084
"cty39053","Gallia County, OH",39080
"cty02130","Ketchikan Gateway Borough, AK",39067
"cty29065","Dent County, MO",39063
"cty41033","Josephine County, OR",39062
"cty48109","Culberson County, TX",39054
"cty29017","Bollinger County, MO",39049
"cty13231","Pike County, GA",39047
"cty40121","Pittsburg County, OK",39044
"cty05013","Calhoun County, AR",39042
"cty51109","Louisa County, VA",39035
"cty29015","Benton County, MO",39003
"cty40035","Craig County, OK",39002
"cty30003","Big Horn County, MT",38977
"cty48213","Henderson County, TX",38957
"cty48001","Anderson County, TX",38955
"cty12071","Lee County, FL",38954
"cty29095","Jackson County, MO",38942
"cty21171","Monroe County, KY",38927
"cty47065","Hamilton County, TN",38915
"cty26095","Luce County, MI",38910
"cty47055","Giles County, TN",38910
"cty40125","Pottawatomie County, OK",38904
"cty48217","Hill County, TX",38904
"cty28045","Hancock County, MS",38902
"cty18119","Owen County, IN",38899
"cty04019","Pima County, AZ",38891
"cty01093","Marion County, AL",38870
"cty48027","Bell County, TX",38853
"cty06045","Mendocino County, CA",38851
"cty21103","Henry County, KY",38849
"cty01099","Monroe County, AL",38849
"cty05133","Sevier County, AR",38816
"cty12103","Pinellas County, FL",38802
"cty23027","Waldo County, ME",38802
"cty48021","Bastrop County, TX",38790
"cty13227","Pickens County, GA",38789
"cty40115","Ottawa County, OK",38787
"cty54031","Hardy County, WV",38779
"cty37011","Avery County, NC",38773
"cty48177","Gonzales County, TX",38772
"cty45083","Spartanburg County, SC",38769
"cty29175","Randolph County, MO",38760
"cty34011","Cumberland County, NJ",38749
"cty54059","Mingo County, WV",38749
"cty54109","Wyoming County, WV",38736
"cty37199","Yancey County, NC",38730
"cty48169","Garza County, TX",38726
"cty22105","Tangipahoa Parish, LA",38724
"cty47137","Pickett County, TN",38722
"cty29217","Vernon County, MO",38722
"cty51155","Pulaski County, VA",38715
"cty21191","Pendleton County, KY",38701
"cty45077","Pickens County, SC",38678
"cty13281","Towns County, GA",38674
"cty26035","Clare County, MI",38667
"cty30087","Rosebud County, MT",38650
"cty37127","Nash County, NC",38649
"cty21113","Jessamine County, KY",38642
"cty05083","Logan County, AR",38641
"cty13297","Walton County, GA",38640
"cty05019","Clark County, AR",38636
"cty29141","Morgan County, MO",38629
"cty01095","Marshall County, AL",38627
"cty29059","Dallas County, MO",38627
"cty06115","Yuba County, CA",38600
"cty51007","Amelia County, VA",38591
"cty05055","Greene County, AR",38587
"cty39141","Ross County, OH",38587
"cty13291","Union County, GA",38585
"cty48047","Brooks County, TX",38568
"cty21167","Mercer County, KY",38561
"cty51036","Charles City County, VA",38553
"cty21019","Boyd County, KY",38535
"cty28019","Choctaw County, MS",38529
"cty51139","Page County, VA",38529
"cty51191","Washington County, VA",38525
"cty35007","Colfax County, NM",38519
"cty47131","Obion County, TN",38518
"cty48099","Coryell County, TX",38514
"cty13045","Carroll County, GA",38506
"cty18053","Grant County, IN",38489
"cty37097","Iredell County, NC",38486
"cty08101","Pueblo County, CO",38481
